id,category,type,question,options,answer,explanation,analysis,score,codeId,remarks,Description
1,习总书记安全生产重要论述,单选题,2013年6月6日，习近平就做好安全生产工作作出重要指示，要始终把人民生命安全放在首位，以对党和人民高度负责的精神，完善制度、强化责任、加强管理、严格监管，把（    ）落到实处，切实防范重特大安全生产事故的发生。,"{""A"": ""安全生产"", ""B"": ""生命至上"", ""C"": ""安全奖惩机制"", ""D"": ""安全生产责任制""}",D,\,\,1,,,
2,习总书记安全生产重要论述,单选题,"2013年11月24日,习近平总书记在青岛中石化“11·22”东黄输油管线爆燃事故现场发表重要讲话:企业要抓紧建立健全安全生产责任体系,（    ）必须亲力亲为、亲自动手抓。","{""A"": ""总经理"", ""B"": ""董事长"", ""C"": ""党政一把手"", ""D"": ""分管领导""}",C,\,\,1,,,
3,习总书记安全生产重要论述,单选题,依据《总书记关于安全生产的重要论述合集》，2025年1月7日习近平对西藏日喀则市定日县6.8级地震作出重要指示，要全力开展人员搜救，全力救治受伤人员，最大限度（），防止发生次生灾害，妥善安置受灾群众，做好善后等工作。要加强震情监测预警，及时调拨抢险救援物资，抓紧抢修损毁基础设施，安排好群众基本生活，确保安全温暖过冬,"{""A"": ""减少人员伤亡"", ""B"": ""降低损失"", ""C"": ""保障财产安全"", ""D"": ""开展应急处置""}",A,\,\,1,,,
4,习总书记安全生产重要论述,单选题,2016年4月19日，习近平总书记在网络安全和信息化工作座谈会上讲话，全天候全方位感知（    ）安全态势。知己知彼，才能百战不殆。没有意识到风险是最大的风险。,"{""A"": ""信息"", ""B"": ""数据"", ""C"": ""网络"", ""D"": ""科技""}",C,\,\,1,,,
5,习总书记安全生产重要论述,单选题,"2016年10月11日,习近平总书记在中央全面深化改革领导小组第二十八次会议上发表重要讲话：推进安全生产领域改革发展，关键是要作出（    ）安排，依靠严密的责任体系、严格的法治措施、有效的体制机制、有力的基础保障和完善的系统治理，解决好安全生产领域的突出问题","{""A"": ""系统性"", ""B"": ""依法治安"", ""C"": ""责任落实"", ""D"": ""制度性""}",D,\,\,1,,,
6,习总书记安全生产重要论述,单选题,依据《总书记关于安全生产的重要论述合集》，2025年2月8日习近平对四川宜宾市筠连县发生山体滑坡，造成多人失联作出重要指示.要千方百计搜救失联人员，最大限度减少人员伤亡，并妥善做好善后等工作。要加强监测预警，注意科学施救，防止发生次生灾害。各地区和有关部门要牢固树立风险意识，加强各类灾害和安全生产隐患排查，强化责任落实，坚决防范（）发生，切实保障人民群众生命财产安全。,"{""A"": ""重特大灾害事故"", ""B"": ""较大事故"", ""C"": ""一般事故"", ""D"": ""自然灾害事故""}",A,\,\,1,,,
7,习总书记安全生产重要论述,单选题,习近平总书记在2019年11月29日中共中央政治局第十九次集体学习时的讲话提出，（    ）是国家治理体系和治理能力的重要组成部分，承担防范化解重大安全风险、及时应对处置各类灾害事故的重要职责，担负保护人民群众生命财产安全和维护社会稳定的重要使命。,"{""A"": ""防震救灾"", ""B"": ""应急管理"", ""C"": ""安全生产"", ""D"": ""生产建设""}",B,\,\,1,,,
8,习总书记安全生产重要论述,单选题,依据《总书记关于安全生产的重要论述合集》，2024年5月2日习近平对广东梅州市梅大高速茶阳路段塌方灾害作出重要指示，要全力做好现场救援、伤员救治，妥善做好善后处置等工作。要抓紧抢修受损道路，尽快恢复交通秩序。当前正值“五一”假期，群众出行增多，人员流动量大，部分地区还将出现大范围降雨和强对流天气，各类事故灾害易发多发。各地区和有关部门要坚持底线思维，压实工作责任，加强监测预警，完善（），及时排查处置重点地区和关键领域风险隐患，确保人民群众生命财产安全和社会大局稳定。,"{""A"": ""应急预案"", ""B"": ""督查机制"", ""C"": ""责任制"", ""D"": ""抗灾救灾能力""}",A,\,\,1,,,
9,习总书记安全生产重要论述,单选题,习近平总书记在党的二十大报告中指出：必须坚定不移贯彻（    ），把维护国家安全贯穿党和国家工作各方面全过程，确保国家安全和社会稳定。,"{""A"": ""社会和谐稳定观"", ""B"": ""总体国家安全观"", ""C"": ""安全发展观"", ""D"": ""科学发展观""}",B,\,\,1,,,
10,习总书记安全生产重要论述,多选题,习近平总书记在2016年10月31日全国安全生产工作作出重要指示提出，各级党委和政府要认真贯彻落实党中央关于加快安全生产领域改革发展的工作部署，坚持（    ），严格落实安全生产责任制，完善安全监管体制，强化依法治理，不断提高全社会安全生产水平，更好维护广大人民群众生命财产安全。,"{""A"": ""党政同责"", ""B"": ""一岗双责"", ""C"": ""齐抓共管"", ""D"": ""失职追责""}",ABCD,\,\,2,,,
